,neighborhood_overview,review_scores_location
1870,Pimlico/Begravia is a very quaint   Absolutely everything you need is located   5   Large Sainsburys   Tesco for groceries  Portuguese Cafe  Cafe Nero  Gourmet Restaurants - Argentinian  Vietnamese  Italian  Traditional English  Pubs  Pret a Manger  Pizza  Mexican  Indian  Organic  Specialist Cheese Shop  Moroccan Spa Facilities  Gym and Pool  Chic Vintage Clothing shops  Luxury Menswear Tailor  Tate Britain  stunning views of Thames River  Antique shops and Special Restaurants on Pimlico Road  Yoga Studio  Chelsea  King's Road  Battersea Park  Hyde Park  Buckingham Palace  Harrods   Soho  Trafalgar Square  Liberty's  Selfridges   Oxford Street 10   Bond Street  Sotheby's  Christies  Royal Academy of Arts and West End Galleries 15   Natural History Museum   Victoria   Albert Museum 10   Harrods  Harvey Nichols   Sloane Street 10   Southbank with National Film Theatre  London Eye  Hayward Gallery 20   West ter   s of Parliament 15   West End,5
1876,Stoke Newington is a truly char g village feel in the heart of London  With an array of green spaces  it is a renowned hotspot for Londoners  who flock for the open air vibes of Clissold Park  and the independent boutiques of Stoke Newington Church Street    The property is just a 3     from Church Street  which boasts 14 coffee shops  6 pubs  21 restaurants/take   options  a bakery offering fresh breads and pastries  at the end of the road - 3       3 independent wine stores and a craft beer shop    In addition you will find 7 convenience shops  an independent butcher  fish monger and green grocers  3 hair dressers  4 barbers  2 yoga studios  a post office  dry cleaner  2 pharmacies and a library with printing facilities    Less than a mile   you will find a climbing centre  open water swim g at the West Reservoir and Clissold leisure centre with indoor pools  gym  squash courts   timetabled children  activities     Stok,5
1878,Peaceful  super quiet and friendly,5
1880,Situated in the heart of Notting Hill the more practical things in life - supermarkets  dry cleaners  take s - are all   a few       For fun Portobello market is a few blocks    shops and boutiques are a plenty and if you're after a cosy pub  a cocktail bar or a tucked   restaurant to relax in the evenings you won't be disappointed ,5
1883,  knit neighborhood   a few   of trendy cafe's  bakery   pubs with real ale and good food  and excellent restaurants   Good running or   in  Clissold Park or around the Reservoirs  Nearest Park Run is at Finsbury Park on Saturday at 9am for 5km  Organic farmers market each Saturday is about a 20   stroll past shops  Gather your picnic from the local shops and take it to Clissold Park or London Fields  or by train to Hampstead Heath  New Woodberry Wetlands and waterside Coach   Cafe is 10       ,5
1904,Perfect location in the heart of the creative east end  Surrounded by interesting shops  cafes  bars and restaurants  most of them independent one offs  you see very few chains round here   There is always activity even late at night on the main road which the  s are off  which actually gives a nice safe feeling especially when returning late   There are a couple of parks  with nice green spaces  and Hackney City Farm  a terrific local cooperative project with animals  a herb garden and fantastic Italian agriturismo open kitchen/cafe   My local pub 'The Marksman  is  fun  good food and a real mix of locals and the art/creative crowd  Also the 'Royal Oak' on the beautiful Columbia Road is lively with good food  My new local wine bar 'Sager   Wilde' is terrific serving simple but quality snacks  and amazing wines  all by the glass and   with age and from top producers ,5
1922,This is a cool   and we can't believe my luck that I get to live here  I worked in the   for years and moved here in January 2014  Angel/Islington has everything  Cool hip bars/restaurants   designer shops  It's also very family friendly for kids  I run a children's nursery 2         Yet the   is on a quiet square - so you literally have the best of everything  Tons of choice  peace   quiet  Relaxed  casual or high end    This part of Islington has  the best of everything  cool London bars  restaurants and designer boutiques and is family friendly  This is all   a short      5   max    The   has the added benefit of being very green with beautiful Georgian Squares all around  including   with children's play  s ,5
1944,The apartment is situated in the top road of the Clapham Old Town    You l be staying right in the centre of the amenities  cinema  galleries  pubs  bars and restaurants of the old town whilst situated at the very edge of Clapham Common itself    Transport is excellent whether   to the tube so to enjoy central London or co g in by train    There is options for guest parking on request ,5
1948,Pinner is a lovely neighborhood  very clean and green  There is a park with children's play   a short   from our     Our   is in a   of 7    all lovely   genuinely nice people  You'll feel very warm and welcome here ,5
1964,You will be surrounded by leafy streets  parks and all the amenities of a  that is both hip  full of shops   food  and traditionally a family    Some of London's best restaurants and coffee shops are on your doorstep      Famous Portobello Road is very     A weekly farmer's market and good food shops all around    Whole Foods Market  London's best fish shop  etc   Kensington High Street and Notting Hill have all the shops you could ever want      The Serpentine Gallery   Museum Row are just across the park from us _ an easy    bike or bus ride     A cinema   theatre just 4            Hyde Park and Holland Park both about 5     - tennis courts  playgrounds  football etc      One of London's oldest historic pubs with eating garden across the street  and a gastro pub down the road     This is one of the trendiest parts of London and has all those trappings  as   as lots of local  facilities that make it ve,5
1972,Richmond is a beautiful town which oozes history and some  shops  a  riverfront and some famed views from the top of Richmond Hill   With Richmond Park  Kew Gardens and the river on our doorstep as   as very frequent trains to Waterloo in just 15   and 20   on the underground to South Kensington  Richmond enjoys the best of both London and country life   With amazing restaurants  cafes  delis  patisseries  pubs and bars  not to mention three cinemas  two theatres and lots to see and do  Richmond has a lot to offer all the family ,5
